"id","Invoice_Date","Invoice_name","Line_of_business","Price","Quantity","Status"
"1","11/11/2018","eleifend.xls","Crona, Howell and McDermott","4746","9","Approved"
"2","7/1/2018","quam.xls","Gerlach and Sons","4553","9","Disputed"
"3","2/3/2019","nulla_pede.xls","Kulas, Casper and Smith","75033","62622","Approved"
"4","3/7/2019","ultrices_mattis_odio.xls","Welch, Daugherty and Quigley","31","4556","Approved"
"5","11/29/2018","vivamus_vel.xls","Torp-Wintheiser","1872","38","Approved"
"6","5/24/2018","et_magnis.ppt","Hills Group","958","35","Approved"
"7","1/25/2019","molestie.ppt","Parker, Schmitt and Nitzsche","457","272","Disputed"
"8","1/3/2019","vestibulum_ante_ipsum.xls","Hayes, Schoen and Ferry","143","888","Disputed"
"9","10/6/2018","mauris_enim.ppt","West-Legros","91","3251","Disputed"
"10","12/31/2018","consequat.xls","Pollich, Dickinson and Kihn","71","41","Open"
"11","9/8/2018","in_tempor_turpis.xls","Bartoletti, Greenholt and Paucek","8235","9044","Open"
"12","5/2/2018","libero.xls","Brekke-Smitham","1464","851","Open"
"13","5/29/2018","fusce_posuere_felis.xls","Buckridge-Bergstrom","5576","41609","Approved"
"14","1/4/2019","sapien_ut.ppt","Hermiston-Klocko","2706","40822","Approved"
"15","7/3/2018","orci_luctus_et.xls","Turner, McClure and Rempel","64","2","Disputed"
"16","3/7/2019","convallis_nunc_proin.ppt","Heathcote Inc","8","46","Approved"
"17","12/22/2018","habitasse_platea_dictumst.doc","Lind and Sons","9","13","Disputed"
"18","6/8/2018","pulvinar_sed.ppt","Heathcote, Erdman and Rosenbaum","3308","76","Approved"
"19","3/2/2019","tristique_est_et.xls","Bashirian, McClure and Feeney","19","9","Approved"
"20","4/5/2018","interdum.xls","Witting Group","0","3653","Approved"
"21","12/17/2018","integer_aliquet_massa.doc","Feest-Heathcote","978","95886","Approved"
"22","5/3/2018","etiam_justo.xls","Eichmann, Conroy and Schimmel","9","0","Disputed"
"23","2/17/2019","parturient_montes.pdf","Cruickshank and Sons","770","7","Disputed"
"24","8/5/2018","at_ipsum_ac.xls","Rolfson Group","574","87","Disputed"
"25","3/14/2019","sem_praesent_id.xls","Murphy, Eichmann and Marvin","37524","2098","Open"
"26","4/25/2018","dui_vel_nisl.xls","Reichert and Sons","3","50","Open"
"27","1/13/2019","id.ppt","Ebert-Cassin","1746","598","Open"
"28","4/9/2018","in.ppt","Ullrich, Kuvalis and Mayer","593","7","Open"
"29","9/8/2018","id_sapien_in.ppt","Kohler-Cummings","37","3754","Open"
"30","12/20/2018","sed_ante.ppt","Thiel Inc","12","8024","Open"
"31","1/3/2019","rutrum_nulla.ppt","Zulauf, Botsford and Doyle","0","1322","Open"
"32","2/22/2019","etiam_vel_augue.doc","Howe, Jerde and Hartmann","0","952","Open"
"33","1/31/2019","nulla_tempus_vivamus.ppt","Kuvalis, Satterfield and McGlynn","16158","69","Open"
"34","8/5/2018","turpis_integer_aliquet.doc","Smitham Inc","67","73391","Open"
"35","10/6/2018","montes.xls","Lebsack-Metz","23","21708","Open"
"36","11/21/2018","ut_ultrices.ppt","Swift, Stanton and Kutch","9873","1913","Open"
"37","6/22/2018","consequat.ppt","Daniel-Jerde","1","336","Open"
"38","6/12/2018","in_leo_maecenas.xls","Wyman LLC","32","9","Open"
"39","1/11/2019","ac_diam_cras.ppt","Greenholt-Kozey","30","592","Open"
"40","12/28/2018","nulla_pede_ullamcorper.pdf","Simonis Group","8","46","Approved"
"41","2/25/2019","maecenas_leo_odio.ppt","Jerde-Buckridge","24","6","Approved"
"42","5/5/2018","sagittis.xls","Moen-Sawayn","58476","9","Approved"
"43","12/24/2018","eget_rutrum.ppt","Ebert Inc","4","7","Approved"
"44","5/31/2018","nunc_viverra.xls","Mueller-Predovic","9005","29105","Open"
"45","10/27/2018","in.pdf","Pacocha Inc","313","39","Approved"
"46","4/8/2018","scelerisque_mauris.xls","Bode Inc","3","89156","Approved"
"47","11/28/2018","turpis_adipiscing.xls","O'Conner, Stoltenberg and Parisian","2","62462","Approved"
"48","5/8/2018","odio_cras_mi.ppt","Zboncak Inc","85964","28","Disputed"
"49","5/10/2018","odio.ppt","Kohler LLC","4","72","Disputed"
"50","6/23/2018","elementum_in_hac.ppt","Smith-Von","91","8","Disputed"
"51","1/18/2019","condimentum_curabitur.pdf","Stracke, Huels and Glover","31","9003","Open"
"52","12/3/2018","nec_nisi.ppt","Wolf LLC","38","1699","Open"
"53","12/27/2018","nulla.xls","Farrell-Medhurst","7","9795","Approved"
"54","12/23/2018","est_congue_elementum.ppt","O'Connell, Turner and Greenfelder","9","2683","Approved"
"55","2/26/2019","quis.ppt","Douglas LLC","37","75","Approved"
"56","1/15/2019","id_pretium_iaculis.xls","Leannon, Rosenbaum and Altenwerth","1386","4","Approved"
"57","12/31/2018","amet_lobortis.ppt","Vandervort Inc","6","7","Approved"
"58","11/28/2018","vel_augue.ppt","Goodwin-White","90","9143","Approved"
